transaction_id,customer_id,amount,currency,payment_method,failure_reason,attempt_number,customer_total_transactions,customer_successful_transactions,customer_failed_transactions,customer_success_rate,customer_lifetime_value,customer_age_days,transaction_date,hour_of_day,day_of_week,days_since_last_transaction,is_retry,customer_recent_failure_count,customer_recent_success_count,customer_avg_transaction_amount,amount_vs_avg_ratio,customer_failure_rate,customer_days_active,recovery_probability_actual,recovered
1,1345,32.6,INR,card,card_blocked,2,17,14.0,3.0,0.8283305280144282,864.9989856057367,1738,2025-01-21 20:00:00,20,1,3.3365335184248908,1,3.0,10.0,50.882293270925686,0.6406943929673027,0.1716694719855718,1738,0.052637477284956186,0
2,256,408.0,INR,upi,daily_limit_exceeded,1,16,5.0,11.0,0.3719191253980301,355.70762584034435,31,2025-02-05 11:00:00,11,2,3.579185279064724,0,5.0,5.0,22.231726615021522,18.35215082774195,0.6280808746019699,31,0.23764342933481827,0
3,278,5240.04,INR,card,invalid_cvv,1,19,14.0,5.0,0.7551362664339991,688.3690229615412,152,2025-02-15 10:00:00,10,5,11.03256671038581,0,5.0,10.0,36.22994857692322,144.63283018120705,0.24486373356600089,152,0.22703140352602352,0
4,59,13.82,INR,netbanking,customer_cancelled,2,23,13.0,10.0,0.6066608438963551,183.4453302925912,50,2025-03-01 21:00:00,21,5,2.7565867202705197,1,5.0,10.0,7.975883925764834,1.732723310498122,0.3933391561036449,50,0.029569909496173816,0
5,17,2674.76,INR,emi,insufficient_funds,2,17,13.0,4.0,0.8071123454210127,33.681431043659586,1153,2025-01-04 13:00:00,13,5,2.3624019919348935,1,4.0,10.0,1.9812606496270344,1350.029336374048,0.19288765457898727,1153,0.01,0
6,308,88.82,INR,emi,insufficient_funds,1,16,13.0,3.0,0.8364479364407119,333.58441318321604,958,2025-03-26 11:00:00,11,2,1.404493179311134,0,3.0,10.0,20.849025823951003,4.260151085714763,0.16355206355928809,958,0.01,0
7,658,304.05,INR,netbanking,daily_limit_exceeded,1,9,6.0,3.0,0.7549639531167787,26.77491258084055,442,2025-01-04 12:00:00,12,5,4.07039599792648,0,3.0,6.0,2.974990286760061,102.20201435720595,0.24503604688322134,442,0.3048418614831289,0
8,1212,448.1,INR,wallet,customer_cancelled,1,20,17.0,3.0,0.8830284321795856,267.2625612513642,119,2025-01-24 10:00:00,10,4,1.378049025150501,0,3.0,10.0,13.363128062568212,33.53256796626712,0.1169715678204144,119,0.01,0
9,879,134.96,INR,netbanking,authentication_failed,3,19,15.0,4.0,0.7984572972438525,1197.8607775864461,761,2025-02-25 08:00:00,8,1,7.673235295417104,1,4.0,10.0,63.045304083497165,2.140682830576232,0.2015427027561475,761,0.17186576668797693,0
10,1439,67.06,INR,upi,invalid_cvv,3,14,10.0,4.0,0.7382054920446401,247.70930499362532,792,2025-01-23 11:00:00,11,3,4.891373911988861,1,4.0,10.0,17.69352178525895,3.7900877402411695,0.26179450795535986,792,0.2554877781191692,0
11,856,369.27,INR,wallet,insufficient_funds,2,10,6.0,4.0,0.6454308012556583,773.9011203887087,402,2025-03-31 08:00:00,8,0,1.3952868418491966,1,4.0,6.0,77.39011203887087,4.771539803618918,0.3545691987443417,402,0.048431529244401285,0
12,321,4325.06,INR,wallet,authentication_failed,3,15,12.0,3.0,0.8362259340284092,5048.6169780332575,375,2025-03-09 10:00:00,10,6,1.0545195927677335,1,3.0,10.0,336.57446520221714,12.850232109561441,0.16377406597159083,375,0.12064598000628833,0
13,804,31.39,INR,emi,invalid_cvv,2,18,12.0,6.0,0.6817401552099288,713.6982568793017,219,2025-03-13 12:00:00,12,3,0.10842042233010676,1,5.0,10.0,39.649903159961205,0.7916791088584014,0.3182598447900712,219,0.07904201946577802,0
14,1459,454.09,INR,upi,customer_cancelled,1,11,3.0,8.0,0.3429444473802671,213.28970654363224,1137,2025-03-09 11:00:00,11,6,4.908344581469274,0,5.0,3.0,19.389973322148386,23.41880478408453,0.6570555526197329,1137,0.13019265960762538,0
